17/11/2022 13:27:24.759779
Waveform Generator Sample Rate,1000Hz
Keithley Sample Rate,1000Hz
Search Coil Sample Rate,1000Hz
Waveform Generator,Keithley,Search Coil
0.402,0.062,1.104
0.650,0.095,1.347
0.893,0.127,0.292
0.683,0.083,0.150
0.494,0.049,-0.269
0.227,0.011,0.203
0.217,0.015,0.241
0.227,0.020,0.166
0.205,0.015,-0.609
-0.080,-0.032,-0.862
-0.353,-0.073,-1.093
-0.611,-0.108,-1.349
-0.865,-0.141,-0.291
-0.662,-0.099,-0.190
-0.492,-0.069,0.196
-0.248,-0.033,-0.270
-0.252,-0.040,-0.264
-0.253,-0.043,-0.190
-0.227,-0.037,0.640
0.079,0.013,0.947
0.386,0.060,1.111
0.643,0.095,1.356
0.891,0.127,0.280
0.678,0.082,0.172
0.499,0.051,-0.247
0.238,0.012,0.207
0.227,0.016,0.219
0.224,0.019,0.117
0.186,0.012,-0.690
-0.120,-0.039,-0.938
-0.405,-0.081,-1.153
-0.667,-0.116,-1.376
-0.911,-0.147,-0.324
-0.703,-0.104,-0.179
-0.515,-0.071,0.216
-0.255,-0.034,-0.208
-0.235,-0.036,-0.227
-0.229,-0.039,-0.175
-0.207,-0.034,0.602
0.078,0.013,0.857
0.354,0.055,1.045
0.598,0.087,1.292
0.840,0.119,0.258
0.636,0.076,0.086
0.442,0.041,-0.316
0.176,0.003,0.171
0.174,0.009,0.221
0.191,0.015,0.155
0.178,0.012,-0.630
-0.105,-0.035,-0.901
-0.383,-0.078,-1.128
-0.643,-0.113,-1.359
-0.890,-0.144,-0.286
-0.676,-0.100,-0.163
-0.492,-0.068,0.220
-0.240,-0.032,-0.266
-0.245,-0.039,-0.286
-0.256,-0.044,-0.195
-0.231,-0.038,0.645
0.078,0.013,0.929
0.378,0.059,1.086
0.629,0.092,1.310
0.867,0.123,0.248
0.650,0.078,0.128
0.465,0.045,-0.279
0.204,0.007,0.205
0.203,0.013,0.242
0.217,0.019,0.143
0.191,0.013,-0.664
-0.109,-0.037,-0.906
-0.387,-0.078,-1.090
-0.633,-0.111,-1.296
-0.861,-0.139,-0.195
-0.626,-0.092,-0.069
-0.426,-0.058,0.285
-0.173,-0.022,-0.149
-0.160,-0.026,-0.143
-0.152,-0.028,-0.101
-0.130,-0.024,0.636
0.140,0.021,0.851
0.391,0.059,0.995
0.605,0.087,1.212
0.816,0.114,0.145
0.582,0.067,0.036
0.389,0.034,-0.347
0.131,-0.003,0.119
0.126,0.002,0.154
0.137,0.008,0.095
0.122,0.004,-0.647
-0.145,-0.041,-0.879
-0.401,-0.079,-1.109
-0.648,-0.112,-1.344
-0.886,-0.143,-0.266
-0.667,-0.098,-0.119
-0.470,-0.065,0.267
-0.210,-0.028,-0.192
-0.199,-0.031,-0.161
-0.184,-0.032,-0.099
-0.150,-0.026,0.717
0.155,0.025,0.967
0.442,0.068,1.124
0.683,0.099,1.335
0.910,0.129,0.273
0.687,0.083,0.073
0.470,0.045,-0.307
0.199,0.006,0.236
0.212,0.015,0.285
0.238,0.023,0.211
0.228,0.019,-0.634
-0.072,-0.031,-0.894
-0.359,-0.075,-1.134
-0.630,-0.111,-1.353
-0.879,-0.143,-0.265
-0.663,-0.098,-0.194
-0.494,-0.069,0.184
-0.254,-0.035,-0.279
-0.259,-0.040,-0.242
-0.249,-0.042,-0.138
-0.206,-0.033,0.716
0.119,0.020,0.974
0.421,0.066,1.123
0.669,0.098,1.322
0.897,0.127,0.250
0.671,0.080,0.099
0.468,0.045,-0.336
0.187,0.004,0.136
0.168,0.007,0.170
0.169,0.012,0.082
0.138,0.005,-0.728
-0.164,-0.045,-0.925
-0.431,-0.084,-1.138
-0.677,-0.117,-1.343
-0.906,-0.146,-0.289
