28/10/2022 10:59:55.369245
Waveform Generator Sample Rate,1000Hz
Keithley Sample Rate,1000Hz
Search Coil Sample Rate,1000Hz
Waveform Generator,Keithley,Search Coil
0.058,-0.030,0.333
0.153,0.019,1.107
0.485,0.053,-0.122
0.265,0.016,-1.018
-0.191,-0.039,-1.462
-0.642,-0.112,-1.933
-1.090,-0.121,-0.069
-0.720,-0.062,0.477
-0.291,-0.013,0.741
0.073,0.025,-0.091
0.014,0.008,-0.713
-0.242,-0.027,-0.862
-0.459,-0.043,0.248
-0.197,-0.012,1.302
0.333,0.056,1.866
0.866,0.081,1.375
1.035,0.121,0.207
0.736,0.086,-0.205
0.398,0.024,-0.848
-0.042,-0.018,0.336
0.092,-0.032,0.462
0.217,0.029,1.060
0.505,0.044,-0.545
0.138,-0.001,-1.152
-0.320,-0.050,-1.531
-0.747,-0.126,-1.824
-1.120,-0.122,-0.010
-0.718,-0.059,0.599
-0.247,-0.005,0.786
0.117,0.030,-0.205
0.002,-0.022,-1.051
-0.375,-0.036,-1.035
-0.603,-0.085,-0.233
-0.467,-0.035,1.002
0.057,0.038,1.759
0.655,0.090,1.500
0.944,0.110,0.112
0.638,0.036,-0.920
0.082,-0.007,-0.816
-0.231,-0.031,0.500
0.028,-0.038,0.595
0.224,0.033,1.135
0.539,0.068,-0.096
0.312,0.024,-1.058
-0.174,-0.031,-1.450
-0.623,-0.083,-1.573
-0.950,-0.107,0.075
-0.585,-0.081,-0.079
-0.400,-0.020,0.738
0.004,0.023,-0.185
-0.062,0.004,-1.033
-0.406,-0.037,-0.917
-0.579,-0.045,0.439
-0.210,-0.007,1.187
0.285,0.057,1.776
0.807,0.106,1.599
1.077,0.126,0.136
0.737,0.074,-0.410
0.326,0.017,-0.687
-0.036,-0.045,-0.132
-0.068,-0.010,0.820
0.247,0.039,1.149
0.560,0.058,-0.329
0.241,0.017,-0.921
-0.176,-0.059,-1.884
-0.767,-0.102,-1.546
-1.032,-0.108,0.090
-0.628,-0.061,0.329
-0.284,-0.010,0.814
0.103,-0.006,-0.573
-0.140,-0.001,-0.699
-0.339,-0.057,-1.305
-0.664,-0.068,0.179
-0.359,-0.022,1.072
0.149,0.032,1.493
0.620,0.084,1.615
0.957,0.083,-0.326
0.496,0.050,-0.433
0.165,0.009,-0.671
-0.131,-0.028,0.229
-0.003,-0.006,0.839
0.290,0.030,1.002
0.535,0.054,0.026
0.347,-0.007,-1.131
-0.184,-0.032,-1.322
-0.583,-0.066,-1.256
-0.810,-0.091,0.080
-0.489,-0.043,0.671
-0.076,0.011,0.558
0.148,0.035,-0.171
0.031,-0.013,-1.159
-0.388,-0.040,-0.987
-0.593,-0.049,0.395
-0.238,-0.015,1.050
0.219,0.046,1.750
0.755,0.098,1.544
1.023,0.116,0.195
0.718,0.068,-0.575
0.263,0.003,-0.688
-0.073,-0.022,0.448
0.110,0.000,0.737
0.329,0.033,1.038
0.569,0.025,-0.568
0.161,0.006,-1.094
-0.288,-0.076,-2.053
-0.903,-0.117,-1.544
-1.119,-0.119,0.096
-0.683,-0.069,0.362
-0.309,-0.016,0.861
0.099,-0.006,-0.484
-0.110,-0.002,-0.592
-0.279,-0.020,-0.813
-0.460,-0.047,0.331
-0.176,-0.001,1.212
0.315,0.049,1.529
0.739,0.097,1.560
1.017,0.112,-0.230
0.567,0.059,-0.420
0.210,-0.003,-1.086
-0.240,-0.045,0.177
-0.090,-0.017,0.854
0.241,0.025,1.055
0.521,0.051,-0.094
0.293,-0.006,-1.377
-0.300,-0.046,-1.421
-0.692,-0.080,-1.372
-0.923,-0.103,-0.023
-0.597,-0.052,0.566
-0.183,-0.001,0.815
0.168,0.034,-0.093
0.070,-0.013,-1.062
-0.331,-0.033,-0.950
-0.541,-0.045,0.359
-0.218,-0.013,1.040
0.228,0.044,1.721
0.748,0.071,1.205
0.899,0.106,0.169
0.636,0.075,-0.261
0.313,0.014,-0.882
-0.109,-0.023,0.355
0.055,-0.005,0.632
0.258,0.025,0.956
0.496,0.053,-0.364
0.190,0.005,-1.193
-0.301,-0.052,-1.671
-0.787,-0.132,-1.978
-1.198,-0.132,-0.124
-0.809,-0.069,0.459
-0.353,-0.020,0.721
0.026,0.021,-0.178
-0.047,0.002,-0.772
-0.303,-0.033,-0.973
-0.539,-0.081,-0.131
-0.390,-0.027,1.156
0.160,0.045,1.797
0.734,0.098,1.622
1.037,0.121,0.217
0.737,0.083,-0.314
